,0
509,47648.53601442548
510,47647.924565924164
511,47646.971052957866
512,47646.81956067546
513,47645.60934325257
514,47645.49659247629
515,47644.20146082342
516,47645.09636426107
517,47643.319176593286
518,47643.43247626282
519,47642.71564568477
520,47641.62801220065
521,47641.176370127636
522,47639.92570294033
523,47640.70498709956
524,47639.590474118566
525,47638.74059548229
526,47638.371546895665
527,47637.303421338176
528,47636.94045366431
529,47636.20249591768
530,47636.06984808906
531,47634.93768626181
532,47634.81662901965
533,47633.95782146738
534,47633.31936546567
535,47632.587491543796
536,47631.728301552546
537,47631.24923962829
538,47630.89049764553
539,47630.16891226579
540,47629.81740462137
541,47629.477371763096
542,47628.623982818965
543,47628.303151323715
544,47626.93545900996
545,47626.92787182619
546,47625.76859400642
547,47625.22129696472
548,47625.19309540195
549,47624.39271882752
550,47624.270960456604
551,47623.076868752185
552,47622.22122193331
553,47621.879994639785
554,47620.7244180766
555,47620.520597374576
556,47620.10372734408
557,47619.19429566711
558,47618.39756053348
559,47617.939095353875
560,47617.55626085807
561,47617.33296391182
562,47616.04478773745
563,47615.761943650854
564,47614.8746858842
565,47614.94430113584
566,47613.445694325834
567,47613.79698031633
568,47612.612355221405
569,47611.81675172055
570,47611.591967396096
571,47610.775049419564
572,47610.5442447344
573,47610.2768836929
574,47609.54593661393
575,47607.62505883859
576,47607.494710539555
577,47607.87442010438
578,47606.803617368365
579,47605.627327433365
580,47606.03680342639
581,47604.61500769447
582,47603.475463369185
583,47604.36633036184
584,47602.619577014986
585,47603.07224453071
586,47602.53342541104
587,47600.737494410605
588,47600.772534690455
589,47600.96753161536
590,47600.05248233574
591,47598.735394516116
592,47598.64528178966
593,47598.24040022763
594,47597.40621245822
595,47597.034136918795
596,47596.17471840639
597,47595.4128020355
598,47595.52972046489
599,47594.00755707445
600,47594.385415195065
601,47592.24886695533
602,47592.802363025534
603,47591.22777153721
604,47591.793384429744
605,47590.76076130874
606,47589.954796735874
607,47590.118950081145
608,47588.29780283977
609,47588.11651539768
610,47588.69913371077
611,47586.72409614751
612,47586.12213118002
613,47586.6891798604
614,47584.99734161625
615,47584.68453197486
616,47584.219776169484
617,47582.61339933527
618,47583.00730324266
619,47582.90403485671
620,47581.525669231334
621,47580.75175533342
622,47580.667329454285
623,47579.55541169237
624,47579.77892068739
625,47578.71573419666
626,47577.844060440635
627,47577.91650568592
628,47576.63664448024
629,47576.84285248714
630,47575.36358818717
631,47574.4744088853
632,47573.72047390958
633,47572.502168445084
634,47572.833562735126
635,47571.65127839385
636,47571.795420855284
637,47570.61432221972
638,47570.89753110944
639,47569.492035259915
